Probeset	Gene	Type	SP4plus 1	SP4plus 2	SP8plus 1	SP8plus 2
35147_at	MCF2L	other	269.39	247.91	394.91	187.69
35148_at	TJP3	other	138.69	113.48	163.9	85.489
35150_at	CD40	immunity	370.11	315.55	413.49	214.14
35156_at	R3HCC1	other	380.1	424.47	509.55	294.7
35160_at	LDB1	other	358.37	300.37	471.09	194.82
35179_at	B3GAT3	other	320.91	316.23	442.2	233.98
35201_at	HNRNPL	other	618.93	467.14	965.14	286.41
35254_at	TRAFD1	immunity	344.42	382.01	458.96	230.35
35265_at	FXR2	other	387.59	407.77	496.51	256.49
35436_at	GOLGA2	other	278.89	263.5	363.88	176.72
35617_at	MAPK7	immunity	295.19	275.84	420.19	190.61
35626_at	SGSH	other	760.03	611.43	821.74	293.56
35666_at	SEMA3F	immunity	305.34	263.61	382.6	177.45
35671_at	GTF3C1	other	629.65	563.22	1022.3	390.38
35685_at	RING1	other	917.15	852.53	1363.5	662.23
35776_at	ITSN1	other	259.07	211.87	312.64	148.53
35820_at	GM2A	other	302.02	271.45	418.26	200.66
35846_at	THRA	other	260.69	245	353.75	173.25
35974_at	LRMP	immunity	409.28	457.81	714.19	268.23
36004_at	IKBKG	immunity	467.02	474.49	727.29	309.79
36019_at	STK19	other	566.59	451.79	720.29	300.29
36030_at	IFFO1	other	470.34	502.04	663.16	298.15
36084_at	CUL7	other	390.16	348.36	536.48	224.2
36129_at	SGSM2	other	1679.7	1497.3	2226.4	900.56
36475_at	GCAT	other	248.58	240.82	345.77	174.16
36499_at	CELSR2	other	182.86	156.33	220.35	119.05
36545_s_at	SFI1	other	674.42	609.23	1204.9	418.44
36552_at	C2CD3	other	271.24	226.62	348.86	144.72
36553_at	ASMTL	other	384.93	421.88	483.62	260.63
36554_at	ASMTL	other	451.5	407.7	634.17	240.38
36564_at	RNF19B	immunity	246.81	216.99	287.79	152.63
36566_at	CTNS	other	277.61	251.45	334.17	175.67
36612_at	FAM168A	other	169.91	169.43	219.58	111.95
36711_at	MAFF	other	133.79	131.96	198.34	107.84
36742_at	TRIM15	immunity	233.51	184.38	269.81	132.27
36829_at	MIR6883 /// PER1	other	571.85	495.75	736.33	356.18
36830_at	MIPEP	other	161.46	141.88	196.99	107.07
36865_at	ANGEL1	other	294.82	245.13	330.98	172.87
36888_at	HAUS5	other	490.34	435.53	666.17	302.56
36907_at	MVK	other	558.69	544.95	740.79	347.47
36920_at	MTM1	other	171.93	156.4	211.94	111.25
36936_at	TSTA3	other	461.14	448.05	608.24	274.32
36994_at	ATP6V0C	other	1527.8	1575.7	2351.5	1018.2
37004_at	SFTPB	other	170.15	144.9	194	105.18
37005_at	MINOS1-NBL1 /// NBL1	other	308.97	272.03	444.63	209.71
37012_at	CAPZB	other	1038.8	1108.1	1890.9	721.94
37020_at	CRP	other	127.63	116.45	135.49	88.448
37022_at	PRELP	other	318.64	288.31	373.77	206.71
37028_at	PPP1R15A	other	406.8	272.86	470.8	187.27
37079_at	NUS1P3	other	149.22	113.84	165.48	87.741
37117_at	ARHGAP8 /// PRR5-ARHGAP8	other	154.39	119.7	174.86	92.888
37145_at	GNLY	other	200.86	155.42	469.72	138.91
